Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,282.200012,282.619995,280.559998,282.309998,271.040161,4204000
2019-03-04,283.369995,283.570007,278.549988,281.160004,269.936066,4811800
2019-03-05,281.279999,281.489990,280.140015,280.799988,269.590393,2502400
2019-03-06,280.869995,280.880005,278.679993,279.010010,267.871918,3411700
2019-03-07,278.529999,278.660004,275.739990,276.760010,265.711731,4553800
2019-03-08,274.579987,276.329987,274.100006,276.200012,265.174042,5315800
2019-03-11,276.959991,280.350006,276.940002,280.209991,269.023987,3843700
2019-03-12,280.790009,281.799988,280.619995,281.200012,269.974487,2089500
2019-03-13,282.230011,284.130005,282.040009,283.149994,271.846588,2804600
2019-03-14,283.140015,283.600006,282.429993,283.010010,271.712250,2396400
2019-03-15,283.559998,285.209991,283.329987,284.279999,272.931549,3132400
2019-03-18,284.570007,285.670013,284.329987,285.410004,274.016357,3786200
2019-03-19,286.510010,287.399994,284.440002,285.540009,274.141235,5845600
2019-03-20,284.059998,285.380005,282.190002,283.390015,273.158020,4671800
2019-03-21,282.510010,287.070007,282.489990,286.570007,276.223206,3615200
2019-03-22,285.119995,285.709991,281.070007,281.160004,271.008545,6540600
2019-03-25,280.769989,282.079987,279.529999,280.910004,270.767578,4726400
2019-03-26,282.869995,284.089996,281.450012,282.959991,272.743561,4222700
2019-03-27,283.019989,283.660004,279.829987,281.579987,271.413361,3437000
2019-03-28,282.250000,283.100006,280.959991,282.690002,272.483307,2380700
2019-03-29,284.309998,284.739990,283.029999,284.559998,274.285828,4331300
2019-04-01,286.640015,288.079987,286.350006,287.850006,277.457001,4170400
2019-04-02,287.970001,288.160004,287.040009,287.920013,277.524475,7162300
2019-04-03,289.250000,289.700012,287.679993,288.440002,278.025696,3439000
2019-04-04,288.739990,289.390015,287.950012,289.130005,278.690796,3422400
2019-04-05,289.859985,290.559998,289.540009,290.450012,279.963135,3928500
2019-04-08,290.029999,290.850006,289.309998,290.769989,280.271545,2492300
2019-04-09,289.730011,290.019989,288.660004,289.269989,278.825684,3990400
2019-04-10,289.720001,290.339996,289.269989,290.220001,279.741455,2879200
2019-04-11,290.769989,290.779999,289.529999,290.200012,279.722168,2581400
2019-04-12,291.970001,292.440002,291.209991,292.160004,281.611450,2516100
2019-04-15,292.239990,292.309998,291.040009,291.920013,281.380066,3124800
2019-04-16,292.920013,292.980011,291.459991,292.140015,281.592133,3759000
2019-04-17,293.380005,293.390015,290.940002,291.369995,280.849945,4343000
2019-04-18,292.089996,292.279999,290.619995,292.000000,281.457153,4367500
2019-04-22,291.130005,292.399994,291.040009,292.299988,281.746307,2879500
2019-04-23,292.649994,295.109985,292.399994,294.839996,284.194611,4574500
2019-04-24,294.750000,295.140015,294.059998,294.220001,283.597015,2568500
2019-04-25,294.130005,294.760010,292.679993,294.040009,283.423523,1839000
2019-04-26,294.109985,295.500000,293.209991,295.470001,284.801880,2160500
2019-04-29,295.510010,296.459991,295.410004,295.790009,285.110352,2986600
2019-04-30,295.489990,296.329987,293.910004,295.940002,285.254913,4549100
2019-05-01,296.730011,296.929993,293.769989,293.799988,283.192169,2952100
2019-05-02,293.640015,294.679993,291.489990,293.260010,282.671661,3279700
2019-05-03,294.790009,296.329987,294.570007,296.010010,285.322418,3160500
2019-05-06,291.220001,295.279999,290.880005,294.899994,284.252472,2792400
2019-05-07,292.130005,292.790009,287.750000,289.910004,279.442627,5263000
2019-05-08,289.549988,291.380005,288.820007,289.519989,279.066711,5809800
2019-05-09,287.200012,289.239990,285.230011,288.720001,278.295593,4280900
2019-05-10,287.589996,290.899994,284.209991,290.000000,279.529388,4329400
2019-05-13,284.309998,285.399994,281.839996,282.799988,272.589355,5831700
2019-05-14,283.910004,287.019989,283.750000,285.320007,275.018372,3202800
2019-05-15,283.500000,287.700012,283.250000,287.029999,276.666595,3135500
2019-05-16,287.769989,291.170013,287.709991,289.559998,279.105255,3911200
2019-05-17,287.089996,290.540009,287.079987,287.899994,277.505219,3833300
2019-05-20,286.049988,287.369995,285.049988,285.980011,275.654541,2515800
2019-05-21,287.769989,288.859985,287.489990,288.480011,278.064301,3634900
2019-05-22,287.350006,288.600006,287.059998,287.649994,277.264252,3147400
2019-05-23,285.100006,285.109985,282.470001,284.059998,273.803864,4419100
2019-05-24,285.660004,286.119995,284.010010,284.760010,274.478607,1809900
2019-05-28,285.019989,286.079987,282.079987,282.079987,271.895325,2455600
2019-05-29,280.779999,281.200012,278.559998,280.239990,270.121735,6641200
2019-05-30,280.959991,281.920013,279.679993,280.869995,270.728973,3840000
2019-05-31,278.059998,278.959991,277.109985,277.299988,267.287903,5428400
2019-06-03,277.149994,278.390015,274.899994,276.380005,266.401123,5589700
2019-06-04,278.959991,282.579987,278.470001,282.440002,272.242310,3598900
2019-06-05,284.250000,284.899994,282.209991,284.859985,274.574921,4673700
2019-06-06,285.209991,287.500000,284.489990,286.760010,276.406433,4294500
2019-06-07,287.899994,290.829987,287.700012,289.670013,279.211334,3180200
2019-06-10,291.359985,292.809998,290.869995,291.000000,280.493256,3862800
2019-06-11,293.000000,293.420013,290.179993,290.950012,280.445068,2923100
2019-06-12,290.660004,291.250000,289.829987,290.290009,279.808899,2310100
2019-06-13,291.399994,291.970001,290.630005,291.619995,281.090851,2305000
2019-06-14,291.309998,291.929993,290.399994,291.250000,280.734222,2000100
2019-06-17,289.750000,290.450012,289.410004,289.739990,280.994110,2511100
2019-06-18,291.630005,293.799988,291.250000,292.450012,283.622345,4622700
2019-06-19,292.790009,293.890015,291.779999,293.239990,284.388489,7606200
2019-06-20,296.320007,296.570007,293.880005,296.019989,287.084595,4409000
2019-06-21,295.790009,297.200012,295.470001,295.570007,286.648163,3628100
2019-06-24,295.899994,296.269989,295.149994,295.269989,286.357239,3549200
